10001, 2005-9-28, everbank, W, 899, 9458
10002, 2013-2-27, bank of america, W, 392, 3430
10003, 2012-9-28, giants, T, 4839, 4017
10004, 2007-11-29, bank of america, T, 4656, 7078
10005, 2001-12-30, oakland-alameda, W, 2335, 9233
10006, 2001-9-1, invesco, W, 1139, 5399
10007, 2015-9-3, qwest, W, 347, 4894
10008, 2013-7-26, edward jones, W, 1995, 2209
10009, 2006-6-16, candlestick, W, 249, 2058
10010, 2005-7-14, giants, W, 3865, 4615
10011, 2016-8-25, soldier field ii, T, 1180, 8120
10012, 2018-10-11, hubert metrodome, W, 1112, 7102
10013, 2003-4-24, invesco, L, 1390, 9214
10014, 2006-7-8, university of phoenix, L, 4090, 7449
10015, 2006-9-23, invesco, L, 3631, 2337
10016, 2013-1-9, cleveland browns, L, 2029, 5151
10017, 2004-10-26, invesco, T, 4087, 2486
10018, 2004-8-17, invesco, W, 4831, 9673
10019, 2012-5-15, cleveland browns, W, 3304, 5077
10020, 2014-5-1, gillette, W, 3229, 5588
10021, 2012-9-1, dolphin, T, 3123, 3182
10022, 2013-8-24, dolphin, L, 2953, 6297
10023, 2000-9-17, paul brown, T, 4398, 8176
10024, 2007-10-4, cleveland browns, L, 1447, 9957
10025, 2005-5-14, lucas oil, W, 420, 1304
10026, 2006-7-7, dallas cowboys, T, 4555, 3638
10027, 2011-12-17, arrowhead, T, 4931, 7094
10028, 2013-5-19, soldier field ii, W, 2755, 6248
10029, 2005-5-14, m&t bank, W, 4589, 4922
10030, 2000-9-9, qualcomm, W, 1127, 7128
10031, 2012-5-6, lucas oil, L, 986, 7967
10032, 2017-8-3, everbank, L, 283, 3756
10033, 2013-12-12, m&t bank, L, 4560, 9963
10034, 2001-2-16, hubert metrodome, L, 2019, 348
10035, 2013-12-20, cleveland browns, T, 4166, 5804
10036, 2005-2-9, lucas oil, T, 3540, 1430
10037, 2011-1-12, paul brown, L, 4443, 2229
10038, 2015-11-19, georgia dome, L, 1098, 6811
10039, 2015-10-23, dallas cowboys, L, 2984, 5788
10040, 2002-7-17, giants, T, 3517, 8860
10041, 2005-11-12, everbank, T, 3945, 7537
10042, 2003-2-18, hubert metrodome, L, 4523, 8991
10043, 2005-2-7, invesco, L, 3582, 6594
10044, 2002-3-4, ford, W, 1659, 6363
10045, 2001-5-25, georgia dome, T, 143, 1927
10046, 2013-11-22, bank of america, L, 669, 5704
10047, 2007-10-29, university of phoenix, T, 2860, 4207
10048, 2015-6-9, reliant, T, 3848, 9636
10049, 2003-9-19, raymond james, W, 4983, 3074
10050, 2010-8-17, edward jones, W, 2041, 9341
10051, 2012-7-30, edward jones, T, 867, 6477
10052, 2008-12-21, university of phoenix, W, 3787, 2664
10053, 2011-7-24, invesco, W, 4490, 1254
10054, 2004-11-11, m&t bank, W, 2532, 2196
10055, 2017-1-5, m&t bank, T, 2138, 3312
10056, 2018-3-14, soldier field ii, W, 4569, 2685
10057, 2011-6-7, candlestick, L, 379, 5291
10058, 2016-4-20, m&t bank, L, 3671, 6775
10059, 2016-10-8, invesco, W, 560, 2236
10060, 2012-6-14, invesco, T, 3646, 8377
10061, 2001-9-1, hubert metrodome, W, 383, 2112
10062, 2008-7-13, georgia dome, L, 962, 6722
10063, 2004-4-8, m&t bank, L, 2166, 4244
10064, 2001-4-21, giants, W, 3317, 7960
10065, 2014-4-11, dallas cowboys, T, 865, 7378
10066, 2006-10-10, dolphin, T, 1712, 6591
10067, 2003-2-14, giants, L, 2042, 6688
10068, 2002-5-12, paul brown, L, 4482, 9899
10069, 2008-12-8, georgia dome, L, 2237, 2463
10070, 2014-11-16, giants, W, 510, 2483
10071, 2018-11-5, bank of america, W, 125, 3735
10072, 2009-7-21, dallas cowboys, W, 3356, 8036
10073, 2003-2-19, heinz, W, 3339, 8982
10074, 2008-2-24, candlestick, L, 1889, 4497
10075, 2016-8-17, reliant, T, 3661, 2647
10076, 2003-6-22, giants, W, 1207, 9039
10077, 2003-8-3, cleveland browns, T, 2009, 9951
10078, 2004-2-6, edward jones, W, 1183, 8884
10079, 2015-5-1, georgia dome, W, 2239, 4762
10080, 2014-5-19, everbank, T, 4209, 2640
10081, 2018-3-20, ralph wilson, W, 4143, 6441
10082, 2001-2-14, arrowhead, T, 2179, 8007
10083, 2006-10-3, fedexfield, L, 3819, 9825
10084, 2013-8-17, reliant, L, 2100, 5559
10085, 2016-1-7, qwest, L, 2744, 6299
10086, 2006-3-26, bank of america, L, 2206, 8182
10087, 2014-3-3, arrowhead, L, 2979, 4382
10088, 2005-8-29, lincoln, L, 1575, 6690
10089, 2000-5-3, hubert metrodome, L, 483, 5271
10090, 2007-7-10, hubert metrodome, L, 4028, 3932
10091, 2004-2-5, heinz, T, 519, 5533
10092, 2001-1-3, lucas oil, T, 952, 7630
10093, 2011-8-12, arrowhead, W, 185, 7763
10094, 2018-1-16, edward jones, L, 3841, 8686
10095, 2009-2-8, georgia dome, W, 1860, 9092
10096, 2016-12-20, arrowhead, T, 3627, 2143
10097, 2009-5-12, m&t bank, L, 1135, 5161
10098, 2011-7-16, qualcomm, W, 4561, 2508
